"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","Gallery Rooftop Bar","1","Bars","5","Mühlenstr. 19 Friedrichshain","","https://www.yelp.com/biz/gallery-rooftop-bar-berlin?osq=Bars"
"2","Hackendahl","15","Bars","4","Friedrichstr. 128 Mitte","€","https://www.yelp.com/biz/hackendahl-berlin?osq=Bars"
"3","House Of Small Wonder","161","Breakfast &amp; Brunch,Cocktail Bars,Japanese","4","Johannisstr. 20 Mitte","€€","https://www.yelp.com/biz/house-of-small-wonder-berlin?osq=Bars"
"4","Monkey Bar","150","Cocktail Bars,Lounges","3.5","Budapester Str. 40 Wilmersdorf","€€€","https://www.yelp.com/biz/monkey-bar-berlin?osq=Bars"
"5","Kumpelnest 3000","55","Dive Bars","4.5","Lützowstr. 23 Tiergarten","€€","https://www.yelp.com/biz/kumpelnest-3000-berlin?osq=Bars"
"6","Mein Haus am See","161","Lounges,Cafes","4","Brunnenstr. 197 - 198 Mitte","€€","https://www.yelp.com/biz/mein-haus-am-see-berlin?osq=Bars"
"7","Kaschk","48","Bars,Cafes","4.5","Linienstr. 40 Mitte","€","https://www.yelp.com/biz/kaschk-berlin?osq=Bars"
"8","Clash","61","Dive Bars","4","Gneisenaustr. 2 a Bergmannkiez","€","https://www.yelp.com/biz/clash-berlin?osq=Bars"
"9","Klunkerkranich","116","Bars","4.5","Karl-Marx-Str. 66 Neukölln","€€","https://www.yelp.com/biz/klunkerkranich-berlin?osq=Bars"
"10","Bar Tausend","106","Bars","3.5","Schiffbauerdamm 11 Mitte","€€€","https://www.yelp.com/biz/bar-tausend-berlin?osq=Bars"
"11","Berlin Capital Club","16","Social Clubs,Lounges,German","5","Mohrenstr. 30 Mitte","","https://www.yelp.com/biz/berlin-capital-club-berlin-2?osq=Bars"
"12","Aufsturz","125","Dive Bars,Music Venues","4","Oranienburger Str. 67 Mitte","€€","https://www.yelp.com/biz/aufsturz-berlin?osq=Bars"
"13","Goldfisch Bar","78","Cocktail Bars","4.5","Grünberger Str. 67 Friedrichshain","€€","https://www.yelp.com/biz/goldfisch-bar-berlin?osq=Bars"
"14","The Hat Bar","13","Jazz &amp; Blues","4.5","Lotte-Lenya-Bogen 550 Charlottenburg","€€","https://www.yelp.com/biz/the-hat-bar-berlin?osq=Bars"
"15","Verkehrsberuhigte Ostzone","15","Dive Bars","4.5","Kleine Präsidentenstr. 4a Mitte","€","https://www.yelp.com/biz/verkehrsberuhigte-ostzone-berlin?osq=Bars"
"16","Nemo","26","Dive Bars","4","Oderberger Str. 46 Prenzlauer Berg","€","https://www.yelp.com/biz/nemo-berlin?osq=Bars"
"17","YAAM","93","Beach Bars,Music Venues","4","An der Schillingbrücke 3 Friedrichshain","€","https://www.yelp.com/biz/yaam-berlin?osq=Bars"
"18","REDWOOD","21","Cocktail Bars","4.5","Bergstr. 25 Mitte","€€","https://www.yelp.com/biz/redwood-berlin?osq=Bars"
"19","Fairytale Bar","14","Cocktail Bars","4.5","Am Friedrichshain 24 Prenzlauer Berg","€€€","https://www.yelp.com/biz/fairytale-bar-berlin?osq=Bars"
"20","Bar Carlitos","28","Pubs,Cocktail Bars","4.5","Sybelstr. 16 Charlottenburg","€","https://www.yelp.com/biz/bar-carlitos-berlin?osq=Bars"
"21","X-Terrain","10","Bars","4.5","Oranienburger Str. 40 Mitte","€","https://www.yelp.com/biz/x-terrain-berlin?osq=Bars"
"22","Hackbarth’s","23","Dive Bars","4","Auguststr. 49 a Mitte","€","https://www.yelp.com/biz/hackbarths-berlin?osq=Bars"
"23","Posh Bar","22","Cocktail Bars","4.5","Voxstr. 4 Tiergarten","€€","https://www.yelp.com/biz/posh-bar-berlin-2?osq=Bars"
"24","Badfish","23","Dive Bars","4.5","Stargardenerstr. 14 Prenzlauer Berg","€€","https://www.yelp.com/biz/badfish-berlin?osq=Bars"
"25","Bebel Bar &amp; Lounge","17","Cocktail Bars,Champagne Bars,Pubs","4","Behrenstr. 37 Mitte","€€€€","https://www.yelp.com/biz/bebel-bar-und-lounge-berlin?osq=Bars"
"26","Sofia","30","Bars","4","Wrangelstr. 93 Kreuzberg","€","https://www.yelp.com/biz/sofia-berlin?osq=Bars"
"27","f.u.c. bar","5","Dive Bars","4.5","Travestr. 4 Friedrichshain","€","https://www.yelp.com/biz/f-u-c-bar-berlin?osq=Bars"
"28","Interface Bar","3","Dive Bars","5","Perleberger Str. 17 Tiergarten","€","https://www.yelp.com/biz/interface-bar-berlin?osq=Bars"
"29","Wild At Heart","53","Dive Bars,Music Venues","4.5","Wiener Str. 20 Kreuzberg","€€","https://www.yelp.com/biz/wild-at-heart-berlin?osq=Bars"
"30","Z-Bar","23","Cocktail Bars","4","Bergstr. 2 Mitte","€","https://www.yelp.com/biz/z-bar-berlin-2?osq=Bars"
