"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","Cahoots Bar","100","Bars","4.5","13 Kingly Court Soho","££","https://www.yelp.com/biz/cahoots-bar-soho?osq=Bars"
"2","The Blind Pig","58","Cocktail Bars","4.5","58 Poland Street Soho","££","https://www.yelp.com/biz/the-blind-pig-london?osq=Bars"
"3","Savage Garden LDN","5","Cocktail Bars,Venues &amp; Event Spaces","5","7 Pepys Street Aldgate","","https://www.yelp.com/biz/savage-garden-ldn-london?osq=Bars"
"4","The Harp","132","Pubs","4.5","47 Chandos Place Strand","£","https://www.yelp.com/biz/the-harp-london-2?osq=Bars"
"5","The Library Bar","14","Wine Bars,Lounges","5","Lanesborough Place Belgravia","£££","https://www.yelp.com/biz/the-library-bar-london-2?osq=Bars"
"6","Gordon’s Wine Bar","398","Wine Bars,Lounges","4.5","47 Villiers Street Strand","££","https://www.yelp.com/biz/gordons-wine-bar-london-4?osq=Bars"
"7","Rumpus Room Rooftop Bar","16","Bars","4.5","20 Upper Ground South Bank","£££","https://www.yelp.com/biz/rumpus-room-rooftop-bar-london?osq=Bars"
"8","The Bloomsbury Club","3","Venues &amp; Event Spaces,Cocktail Bars","5","16-22 Great Russell Street Bloomsbury","££","https://www.yelp.com/biz/the-bloomsbury-club-london-2?osq=Bars"
"9","George’s Bar","1","Bars","5","Euston Road King's Cross","","https://www.yelp.com/biz/georges-bar-london?osq=Bars"
"10","The Victoria","192","Pubs,British","4.5","10a Strathearn Place Paddington","££","https://www.yelp.com/biz/the-victoria-paddington?osq=Bars"
"11","The Monkey Puzzle","51","Pubs","4.5","30 Southwick Street Paddington","££","https://www.yelp.com/biz/the-monkey-puzzle-london?osq=Bars"
"12","The Marylebone","40","Pubs","4","93 Marylebone High Street Marylebone","££","https://www.yelp.com/biz/the-marylebone-london?osq=Bars"
"13","Happiness Forgets","101","Cocktail Bars","4.5","8-9 Hoxton Square Hoxton Square","££","https://www.yelp.com/biz/happiness-forgets-london?osq=Bars"
"14","The Alchemist","12","Bars,Venues &amp; Event Spaces,American (Traditional)","4.5","63-66 St Martin&amp;#39;s Ln Covent Garden","","https://www.yelp.com/biz/the-alchemist-london-4?osq=Bars"
"15","The Alchemist","73","Cocktail Bars,Coffee &amp; Tea,Breakfast &amp; Brunch","4","6 Bevis Marks Aldgate","££","https://www.yelp.com/biz/the-alchemist-london-3?osq=Bars"
"16","Lord Nelson","54","Pubs","4.5","243 Union Street Southwark","££","https://www.yelp.com/biz/lord-nelson-london-2?osq=Bars"
"17","Queen Elizabeth Roof Garden Bar &amp; Café","13","Bars,Coffee &amp; Tea","3.5","Queen Elizabeth Hall South Bank","££","https://www.yelp.com/biz/queen-elizabeth-roof-garden-bar-and-caf%C3%A9-southbank-centre-2?osq=Bars"
"18","Princess Louise","132","Pubs","4","208 High Holborn Covent Garden","££","https://www.yelp.com/biz/princess-louise-london-2?osq=Bars"
"19","Mr Fogg’s Society of Exploration","10","Cocktail Bars","5","1A Bedford St Strand","","https://www.yelp.com/biz/mr-foggs-society-of-exploration-london?osq=Bars"
"20","The Churchill Bar &amp; Terrace","6","Modern European,Cocktail Bars","4.5","30 Portman Square Marylebone","££££","https://www.yelp.com/biz/the-churchill-bar-and-terrace-london?osq=Bars"
"21","Artesian","76","Lounges","4.5","1C Portland Place Marylebone","£££","https://www.yelp.com/biz/artesian-london-2?osq=Bars"
"22","Fifty Five Bar","66","Lounges","4","31 Jamestown Road Camden Town","££","https://www.yelp.com/biz/fifty-five-bar-london-2?osq=Bars"
"23","PimpShuei","13","Cocktail Bars,Arcades,Dive Bars","5","59 Mount Pleasant Bloomsbury","££","https://www.yelp.com/biz/pimpshuei-london?osq=Bars"
"24","Mr Fogg’s","61","Cocktail Bars","4","15 Bruton Lane Mayfair","£££","https://www.yelp.com/biz/mr-foggs-mayfair?osq=Bars"
"25","Salt Bar","31","Restaurants,Bars","4","13 Edgware Road Paddington","£££","https://www.yelp.com/biz/salt-bar-london?osq=Bars"
"26","Milk &amp; Honey","76","Social Clubs,Lounges","4","61 Poland Street Soho","£££","https://www.yelp.com/biz/milk-and-honey-london-2?osq=Bars"
"27","The Walrus Bar and Hostel","23","Pubs","4","172 Westminster Bridge Road Southwark","£","https://www.yelp.com/biz/the-walrus-bar-and-hostel-london-2?osq=Bars"
"28","Sky Pod Bar","37","Bars","4","20 Fenchurch Street Aldgate","££","https://www.yelp.com/biz/sky-pod-bar-london?osq=Bars"
"29","The Roof Deck Restaurant and Bar, Selfridges","10","Bars,British","4","400 Oxford Street Marylebone","££","https://www.yelp.com/biz/the-roof-deck-restaurant-and-bar-selfridges-london?osq=Bars"
"30","Freud Café","149","Lounges,Coffee &amp; Tea,Cocktail Bars","4","198 Shaftesbury Avenue Covent Garden","££","https://www.yelp.com/biz/freud-caf%C3%A9-london?osq=Bars"
