"rank","business_name","review_count","categories","rating","address","price_range","url"
"1","Fabric","191","Dance Clubs,Music Venues","3.5","77A Charterhouse Street Farringdon","£££","https://www.yelp.com/biz/fabric-london-2?osq=clubs"
"2","KOKO - Temp. CLOSED","157","Dance Clubs,Music Venues","4","1A Camden High Street Euston","££","https://www.yelp.com/biz/koko-london?osq=clubs"
"3","Montezuma","4","Dance Clubs,Lounges,Venues &amp; Event Spaces","3.5","17a Harrington Road South Kensington","","https://www.yelp.com/biz/montezuma-london?osq=clubs"
"4","Ministry Of Sound","113","Dance Clubs,Music Venues","3.5","103 Gaunt Street Borough","£££","https://www.yelp.com/biz/ministry-of-sound-london?osq=clubs"
"5","Ghost Night Club","2","Dance Clubs","5","Farringdon Road Clerkenwell","£££","https://www.yelp.com/biz/ghost-night-club-london?osq=clubs"
"6","Club k","1","Dance Clubs,Bars","5","236a High Street Hounslow","","https://www.yelp.com/biz/club-k-london?osq=clubs"
"7","Scala","65","Dance Clubs,Music Venues","4","275 Pentonville Road Bloomsbury","££","https://www.yelp.com/biz/scala-london?osq=clubs"
"8","Amika","2","Dance Clubs","4","43 S Molton Street Mayfair","££","https://www.yelp.com/biz/amika-london-5?osq=clubs"
"9","XOYO","32","Dance Clubs,Music Venues","3","32-37 Cowper Street Liverpool Street / Broadgate","££","https://www.yelp.com/biz/xoyo-london?osq=clubs"
"10","Slimelight","17","Dance Clubs","4.5","7 Torrens Street Angel","££","https://www.yelp.com/biz/slimelight-london?osq=clubs"
"11","Club 414","7","Dance Clubs,Music Venues","4.5","414-416 Coldharbour Lane Coldharbour Lane/ Herne Hill","££","https://www.yelp.com/biz/club-414-brixton?osq=clubs"
"12","Under Solo","16","Dance Clubs","4","22 Inverness Street Camden Town","££","https://www.yelp.com/biz/under-solo-london?osq=clubs"
"13","The Cuckoo Club","23","Dance Clubs,Bars,Venues &amp; Event Spaces","3.5","Swallow Street Mayfair","££££","https://www.yelp.com/biz/the-cuckoo-club-london?osq=clubs"
"14","Egg London","48","Dance Clubs,Pubs","3","200 York Way King's Cross","££","https://www.yelp.com/biz/egg-london-london?osq=clubs"
"15","Charlie’s","0","Bars,Dance Clubs","0","37 Leinster Gardens Bayswater","","https://www.yelp.com/biz/charlies-london-7?osq=clubs"
"16","Fire","14","Dance Clubs,Music Venues","4","38 - 42 Parry Street Vauxhall","£££","https://www.yelp.com/biz/fire-london-3?osq=clubs"
"17","Tropicana Beach Club","4","Dance Clubs,Bars","3.5","Parker Street Covent Garden","££","https://www.yelp.com/biz/tropicana-beach-club-london?osq=clubs"
"18","Cargo","117","Bars,Dance Clubs,Music Venues","3","83 Rivington Street Hoxton","££","https://www.yelp.com/biz/cargo-london?osq=clubs"
"19","The Zoo Bar &amp; Club","61","Dance Clubs","3","13-17 Bear Street Leicester Square","££","https://www.yelp.com/biz/the-zoo-bar-and-club-london?osq=clubs"
"20","Heaven","75","Dance Clubs,Gay Bars","3.5","Villiers Street Strand","££","https://www.yelp.com/biz/heaven-london?osq=clubs"
"21","The Aquarium","17","Dance Clubs,Bars","3.5","256-260 Old Street Liverpool Street / Broadgate","£££","https://www.yelp.com/biz/the-aquarium-london?osq=clubs"
"22","Ain’t Nothin’ But...","92","Jazz &amp; Blues,Dance Clubs,Wine Bars","4","20 Kingly Street Soho","££","https://www.yelp.com/biz/aint-nothin-but-london?osq=clubs"
"23","Barrio Central","51","Dance Clubs,Cocktail Bars,Music Venues","4","6 Poland Street Soho","££","https://www.yelp.com/biz/barrio-central-london-3?osq=clubs"
"24","The Borderline","33","Dance Clubs,Music Venues","4","Manette Street Bloomsbury","££","https://www.yelp.com/biz/the-borderline-london?osq=clubs"
"25","The Box","22","Dance Clubs","3","11-12 Walkers Court ","££££","https://www.yelp.com/biz/the-box-london?osq=clubs"
"26","Tramp","10","Dance Clubs","4.5","40 Jermyn Street St James's","££££","https://www.yelp.com/biz/tramp-london?osq=clubs"
"27","MODE","5","British,Bars","3","12 Acklam Road Notting Hill","££","https://www.yelp.com/biz/mode-london-2?osq=clubs"
"28","The Lightbox","5","Dance Clubs","4.5","6a S Lambeth Place Vauxhall","£££","https://www.yelp.com/biz/the-lightbox-london?osq=clubs"
"29","Mayfair Club","3","Dance Clubs,Cocktail Bars","3.5","50 Dover Street Mayfair","£££","https://www.yelp.com/biz/mayfair-club-london?osq=clubs"
"30","Masti","3","Dance Clubs,Indian","3.5","576-582 High Road Wembley","££","https://www.yelp.com/biz/masti-london?osq=clubs"
