"rank","business_name","review_count","categories","rating","address","url"
"1","Cahoots Bar","100","Bars","4.5","13 Kingly Court Soho","https://www.yelp.com/biz/cahoots-bar-soho?osq=Bars"
"2","The Blind Pig","58","Cocktail Bars","4.5","58 Poland Street Soho","https://www.yelp.com/biz/the-blind-pig-london?osq=Bars"
"3","Savage Garden LDN","5","Cocktail Bars,Venues &amp; Event Spaces","5","7 Pepys Street Aldgate","https://www.yelp.com/biz/savage-garden-ldn-london?osq=Bars"
"4","Rumpus Room Rooftop Bar","16","Bars","4.5","20 Upper Ground South Bank","https://www.yelp.com/biz/rumpus-room-rooftop-bar-london?osq=Bars"
"5","The Harp","132","Pubs","4.5","47 Chandos Place Strand","https://www.yelp.com/biz/the-harp-london-2?osq=Bars"
"6","The Bloomsbury Club","3","Venues &amp; Event Spaces,Cocktail Bars","5","16-22 Great Russell Street Bloomsbury","https://www.yelp.com/biz/the-bloomsbury-club-london-2?osq=Bars"
"7","The Library Bar","14","Wine Bars,Lounges","5","Lanesborough Place Belgravia","https://www.yelp.com/biz/the-library-bar-london-2?osq=Bars"
"8","Happiness Forgets","102","Cocktail Bars","4.5","8-9 Hoxton Square Hoxton Square","https://www.yelp.com/biz/happiness-forgets-london?osq=Bars"
"9","Gordon’s Wine Bar","398","Wine Bars,Lounges","4.5","47 Villiers Street Strand","https://www.yelp.com/biz/gordons-wine-bar-london-4?osq=Bars"
"10","Queen Elizabeth Roof Garden Bar &amp; Café","13","Bars,Coffee &amp; Tea","3.5","Queen Elizabeth Hall South Bank","https://www.yelp.com/biz/queen-elizabeth-roof-garden-bar-and-caf%C3%A9-southbank-centre-2?osq=Bars"
"11","Mr Fogg’s Society of Exploration","10","Cocktail Bars","5","1A Bedford St Strand","https://www.yelp.com/biz/mr-foggs-society-of-exploration-london?osq=Bars"
"12","The Victoria","192","Pubs,British","4.5","10a Strathearn Place Paddington","https://www.yelp.com/biz/the-victoria-paddington?osq=Bars"
"13","Fifty Five Bar","66","Lounges","4","31 Jamestown Road Camden Town","https://www.yelp.com/biz/fifty-five-bar-london-2?osq=Bars"
"14","PimpShuei","13","Cocktail Bars,Arcades,Dive Bars","5","59 Mount Pleasant Bloomsbury","https://www.yelp.com/biz/pimpshuei-london?osq=Bars"
"15","Mr Fogg’s","61","Cocktail Bars","4","15 Bruton Lane Mayfair","https://www.yelp.com/biz/mr-foggs-mayfair?osq=Bars"
"16","George’s Bar","1","Bars","5","Euston Road King's Cross","https://www.yelp.com/biz/georges-bar-london?osq=Bars"
"17","Milk &amp; Honey","77","Social Clubs,Lounges","4","61 Poland Street Soho","https://www.yelp.com/biz/milk-and-honey-london-2?osq=Bars"
"18","The Monkey Puzzle","51","Pubs","4.5","30 Southwick Street Paddington","https://www.yelp.com/biz/the-monkey-puzzle-london?osq=Bars"
"19","Sky Pod Bar","37","Bars","4","20 Fenchurch Street Aldgate","https://www.yelp.com/biz/sky-pod-bar-london?osq=Bars"
"20","London Cocktail Club","26","Cocktail Bars,Lounges","4.5","29 Sclater Street Shoreditch","https://www.yelp.com/biz/london-cocktail-club-london-3?osq=Bars"
"21","The Marylebone","40","Pubs","4","93 Marylebone High Street Marylebone","https://www.yelp.com/biz/the-marylebone-london?osq=Bars"
"22","The Alchemist","12","Bars,Venues &amp; Event Spaces,American (Traditional)","4.5","63-66 St Martin&amp;#39;s Ln Covent Garden","https://www.yelp.com/biz/the-alchemist-london-4?osq=Bars"
"23","The Old School Yard","45","Cocktail Bars,Dive Bars,Pizza","4.5","111 Long Lane Borough","https://www.yelp.com/biz/the-old-school-yard-london?osq=Bars"
"24","The Alchemist","74","Cocktail Bars,Coffee &amp; Tea,Breakfast &amp; Brunch","4","6 Bevis Marks Aldgate","https://www.yelp.com/biz/the-alchemist-london-3?osq=Bars"
"25","Lord Nelson","54","Pubs","4.5","243 Union Street Southwark","https://www.yelp.com/biz/lord-nelson-london-2?osq=Bars"
"26","The Luggage Room","30","Cocktail Bars","4.5","Grosvenor Square Mayfair","https://www.yelp.com/biz/the-luggage-room-london?osq=Bars"
"27","Nightjar","183","Lounges,Cocktail Bars","4.5","129 City Road Hoxton","https://www.yelp.com/biz/nightjar-london?osq=Bars"
"28","Evans &amp; Peel Detective Agency","77","Cocktail Bars","4.5","310c Earl&amp;#39;s Court Road Earls Court","https://www.yelp.com/biz/evans-and-peel-detective-agency-london?osq=Bars"
"29","Simmons","37","Bars,Dance Clubs","4","32 Caledonian Road King's Cross","https://www.yelp.com/biz/simmons-london?osq=Bars"
"30","Ain’t Nothin’ But...","92","Jazz &amp; Blues,Dance Clubs,Wine Bars","4","20 Kingly Street Soho","https://www.yelp.com/biz/aint-nothin-but-london?osq=Bars"
